System,System Type,Altitude Factor,Floor Area (sqft),Max People,Outside Air Ratio,Cooling Capacity (kBTU/hr),Sensible (SHR),Heating Capacity (kBTU/hr),Cooling EIR (BTU/BTU),Heating EIR (BTU/BTU),Heat Pump Supplemental Heat (kBTU/hr),Supply Flow (CFM),Exhaust Flow (CFM),Fan (kW),W/CFM_x,Fan Type,Capacity (CFM),Diversity Factor (FRAC),Power Demand (kW),Fan deltaT (F),Static Pressure (in w.c.),Total efficiency,Mechanical Efficiency,Fan Placement,Fan Control,Max Fan Ratio (Frac),Min Fan Ratio (Frac),W/CFM_y
Hallway System - MASTER CA SYS,PVVT,1.0,2724.5,3.0,0.0,172.432,0.709,-208.729,0.269,0.24,0.0,5108.0,0.0,0.0,0.0,SUPPLY,5108.0,1.0,1.533,0.93,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.3001174628034456
HP for Office 3rd Floor,PVVT,1.0,327.9,2.0,0.0,17.649,0.729,-21.365,0.269,0.24,0.0,548.0,0.0,0.0,0.0,SUPPLY,548.0,1.0,0.164,0.93,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.29927007299270075
HP Above Lobby Sys,PVVT,1.0,227.3,1.0,0.0,25.441,0.71,-30.797,0.269,0.24,0.0,755.0,0.0,0.0,0.0,SUPPLY,756.0,1.0,0.227,0.93,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.3002645502645503
HP Conf/TV Sys,PVVT,1.0,1619.7,81.0,0.0,173.163,0.704,-209.614,0.269,0.24,0.0,5069.0,0.0,0.0,0.0,SUPPLY,5069.0,1.0,1.521,0.93,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.3000591832708621
HP Above Kit Sys,PVVT,1.0,1500.8,31.0,0.0,165.764,0.692,-200.658,0.269,0.24,0.0,4708.0,0.0,0.0,0.0,SUPPLY,4708.0,1.0,1.412,0.93,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.29991503823279525
HP 1 Base Sys,PVVT,1.0,578.1,3.0,0.0,30.55,0.73,-36.981,0.269,0.24,0.0,950.0,0.0,0.0,0.0,SUPPLY,950.0,1.0,0.285,0.93,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.3
HP 2 Base Sys,PVVT,1.0,471.3,3.0,0.0,26.057,0.711,-31.542,0.269,0.24,0.0,776.0,0.0,0.0,0.0,SUPPLY,776.0,1.0,0.233,0.93,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.3002577319587629
B-APT-08 Zn MASTER SYS,PVVT,1.0,233.7,3.0,0.0,12.58,0.707,-15.228,0.269,0.24,0.0,371.0,0.0,0.0,0.0,SUPPLY,371.0,1.0,0.1,0.83,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.2695417789757412
4-APT-05 Zn-Sys,PVVT,1.0,249.9,3.0,0.0,12.934,0.729,-15.656,0.269,0.24,0.0,401.0,0.0,0.0,0.0,SUPPLY,401.0,1.0,0.108,0.83,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.26932668329177056
4-APT-02 Zn-Sys,PVVT,1.0,393.8,3.0,0.0,20.143,0.731,-24.383,0.269,0.24,0.0,628.0,0.0,0.0,0.0,SUPPLY,628.0,1.0,0.17,0.83,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.27070063694267515
4-APT-06 Zn-Sys,PVVT,1.0,597.6,3.0,0.0,31.963,0.735,-38.691,0.269,0.24,0.0,1006.0,0.0,0.0,0.0,SUPPLY,1006.0,1.0,0.272,0.83,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.27037773359840955
B-APT-01 Zn-Sys,PVVT,1.0,387.8,3.0,0.0,21.859,0.713,-26.46,0.269,0.24,0.0,654.0,0.0,0.0,0.0,SUPPLY,654.0,1.0,0.177,0.83,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.2706422018348624
B-APT-07 Zn-Sys,PVVT,1.0,224.4,3.0,0.0,13.268,0.718,-16.06,0.269,0.24,0.0,401.0,0.0,0.0,0.0,SUPPLY,401.0,1.0,0.108,0.83,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.26932668329177056
2-APT-03 Zn-Sys,PVVT,1.0,657.4,3.0,0.0,55.887,0.715,-67.651,0.269,0.24,0.0,1680.0,0.0,0.0,0.0,SUPPLY,1680.0,1.0,0.454,0.83,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.2702380952380952
B-APT-02 Zn-Sys,PVVT,1.0,383.1,3.0,0.0,19.818,0.707,-23.99,0.269,0.24,0.0,585.0,0.0,0.0,0.0,SUPPLY,585.0,1.0,0.158,0.83,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.27008547008547007
B-APT-03 Zn-Sys,PVVT,1.0,421.3,3.0,0.0,23.954,0.72,-28.996,0.269,0.24,0.0,728.0,0.0,0.0,0.0,SUPPLY,728.0,1.0,0.197,0.83,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.2706043956043956
B-APT-06 Zn-Sys,PVVT,1.0,309.7,3.0,0.0,16.23,0.712,-19.646,0.269,0.24,0.0,485.0,0.0,0.0,0.0,SUPPLY,485.0,1.0,0.131,0.83,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.27010309278350514
4-APT-04 Zn-Sys,PVVT,1.0,439.0,3.0,0.0,22.377,0.731,-27.088,0.269,0.24,0.0,698.0,0.0,0.0,0.0,SUPPLY,698.0,1.0,0.189,0.83,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.2707736389684814
2-APT-05 Zn-Sys,PVVT,1.0,249.9,3.0,0.0,20.339,0.715,-24.621,0.269,0.24,0.0,612.0,0.0,0.0,0.0,SUPPLY,612.0,1.0,0.165,0.83,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.2696078431372549
2-APT-07 Zn-Sys,PVVT,1.0,503.4,3.0,0.0,43.179,0.715,-52.269,0.269,0.24,0.0,1298.0,0.0,0.0,0.0,SUPPLY,1298.0,1.0,0.35,0.83,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.2696456086286595
3-APT-02 Zn-Sys,PVVT,1.0,548.6,3.0,0.0,30.718,0.72,-37.184,0.269,0.24,0.0,934.0,0.0,0.0,0.0,SUPPLY,934.0,1.0,0.252,0.83,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.2698072805139186
2-APT-06 Zn-Sys,PVVT,1.0,402.6,3.0,0.0,32.772,0.711,-39.671,0.269,0.24,0.0,975.0,0.0,0.0,0.0,SUPPLY,975.0,1.0,0.263,0.83,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.26974358974358975
3-APT-05 Zn-Sys,PVVT,1.0,249.9,3.0,0.0,13.111,0.719,-15.871,0.269,0.24,0.0,398.0,0.0,0.0,0.0,SUPPLY,398.0,1.0,0.107,0.83,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.26884422110552764
2-APT-01 Zn-Sys,PVVT,1.0,352.1,3.0,0.0,29.19,0.73,-35.335,0.269,0.24,0.0,908.0,0.0,0.0,0.0,SUPPLY,908.0,1.0,0.245,0.83,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.2698237885462555
3-APT-06 Zn-Sys,PVVT,1.0,472.9,3.0,0.0,24.928,0.715,-30.175,0.269,0.24,0.0,750.0,0.0,0.0,0.0,SUPPLY,750.0,1.0,0.203,0.83,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.27066666666666667
3-APT-01 Zn-Sys,PVVT,1.0,275.9,3.0,0.0,15.671,0.725,-18.969,0.269,0.24,0.0,482.0,0.0,0.0,0.0,SUPPLY,482.0,1.0,0.13,0.83,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.2697095435684647
4-APT-01 Zn-Sys,PVVT,1.0,434.4,3.0,0.0,24.004,0.736,-29.057,0.269,0.24,0.0,757.0,0.0,0.0,0.0,SUPPLY,757.0,1.0,0.204,0.83,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.26948480845442535
2-APT-02 Zn-Sys,PVVT,1.0,442.4,3.0,0.0,34.384,0.714,-41.622,0.269,0.24,0.0,1031.0,0.0,0.0,0.0,SUPPLY,1031.0,1.0,0.278,0.83,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.2696411251212415
3-APT-07 Zn-Sys,PVVT,1.0,458.5,3.0,0.0,25.602,0.719,-30.991,0.269,0.24,0.0,777.0,0.0,0.0,0.0,SUPPLY,777.0,1.0,0.21,0.83,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.2702702702702703
4-APT-03 Zn-Sys,PVVT,1.0,325.2,3.0,0.0,16.65,0.73,-20.155,0.269,0.24,0.0,518.0,0.0,0.0,0.0,SUPPLY,518.0,1.0,0.14,0.83,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.2702702702702703
3-APT-04 Zn-Sys,PVVT,1.0,358.9,3.0,0.0,18.855,0.713,-22.824,0.269,0.24,0.0,565.0,0.0,0.0,0.0,SUPPLY,565.0,1.0,0.153,0.83,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.27079646017699116
4-APT-07 Zn-Sys,PVVT,1.0,399.4,3.0,0.0,21.936,0.735,-26.553,0.269,0.24,0.0,690.0,0.0,0.0,0.0,SUPPLY,690.0,1.0,0.186,0.83,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.26956521739130435
3-APT-03 Zn-Sys,PVVT,1.0,353.7,3.0,0.0,18.575,0.713,-22.485,0.269,0.24,0.0,556.0,0.0,0.0,0.0,SUPPLY,556.0,1.0,0.15,0.83,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.2697841726618705
2-APT-08 Zn-Sys,PVVT,1.0,328.4,3.0,0.0,27.45,0.705,-33.228,0.269,0.24,0.0,807.0,0.0,0.0,0.0,SUPPLY,807.0,1.0,0.218,0.83,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.2701363073110285
B-APT-04 Zn-Sys,PVVT,1.0,420.3,3.0,0.0,22.103,0.714,-26.755,0.269,0.24,0.0,664.0,0.0,0.0,0.0,SUPPLY,664.0,1.0,0.179,0.83,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.26957831325301207
2-APT-04 Zn-Sys,PVVT,1.0,568.7,3.0,0.0,46.366,0.712,-56.126,0.269,0.24,0.0,1384.0,0.0,0.0,0.0,SUPPLY,1384.0,1.0,0.374,0.83,0.0,0.0,0.0,DRAW-THRU,CONSTANT,1.0,0.3,0.2702312138728324
Unconditionned,SUM,1.0,4616.9,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
Elev Cooling Sys,PTAC,1.0,41.6,0.0,0.0,0.0,0.0,0.0,0.438,0.0,0.0,586.0,0.0,0.041,0.06996587030716724,SUPPLY,586.0,0.0,0.0,0.22,0.0,0.0,0.0,BLOW-THRU,2-SPEED,0.0,0.0,0.0
